Hospital,Alternative Name,Address,Address 1,Address 2,City,State,Zip,Hospital Website,Latitude,Longitude,Caring System,Funding,Type,Affiliation,Beds,Regular Beds,NICU Beds,Opened,Pediatric Trauma Level,NICU Level,Ranked Specialties,Wikipedia Source
Shriners Hospital for Children,,"3551 N Broad St, Philadelphia, PA 19140",3551 N Broad St,, Philadelphia,PA,19140,https://www.shrinerschildrens.org/en/Locations/Philadelphia,40.0071847,-75.1513111,,,,Shriners,49,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospital for Children,,"3101 SW Sam Jackson Park Rd,  Portland, OR 97239",3101 SW Sam Jackson Park Rd,,  Portland,OR,97239,https://www.shrinerschildrens.org/en/Locations/Portland,45.5010643,-122.6843039,,,,Shriners,29,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospital for Children,,"1275 E Fairax Rd, Salt Lake City, UT 84103",1275 E Fairax Rd,, Salt Lake City,UT,84103,https://www.shrinerschildrens.org/en/Locations/Salt-Lake-City,40.777232,-111.850456,,,,Shriners,45,,,,,,1,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospital for Children,,"3100 Samford Ave, Shreveport, L, 71103",3100 Samford Ave,, Shreveport,"L,",71103,https://www.shrinerschildrens.org/en/Locations/Shreveport,32.4812133,-93.7576163,,,,Shriners,45,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospital for Children Los Angeles and Sacramento,,"909 S. Fair Oaks Ave, Pasadena, CA 91105",909 S. Fair Oaks Ave,, Pasadena,CA,91105,https://www.shrinerschildrens.org/en/locations/southern-california,34.1305339,-118.1507597,,,,Shriners,80,,,,,,2,https://en.wikipedia.org/wiki/St._Christopher%27s_Hospital_for_Children
Shriners Hospital for Children,,"911 W 5th Ave, Spokane, WA 99204",911 W 5th Ave,, Spokane,WA,99204,https://www.shrinerschildrens.org/en/Locations/Spokane,47.650892,-117.4257133,,,,Shriners,30,,,,,,,https://en.wikipedia.org/wiki/St._Jude_Children%27s_Research_Hospital
Shriners Hospitals for Children,,"4400 Clayton Ave, St Louis, MO 63110 ",4400 Clayton Ave,, St Louis,MO,63110,https://www.shrinerschildrens.org/en/Locations/St-Louis,38.6323273,-90.2580959,,,,Shriners,12,,,,,,1,https://en.wikipedia.org/wiki/St._Louis_Children%27s_Hospital
Shriners Hospital for Children,,"815 Market St, Galveston, TX 77550",815 Market St,, Galveston,TX,77550,https://www.shrinerschildrens.org/en/Locations/Texas,29.3091863,-94.7771886,,,,Shriners,30,,,,,,,https://en.wikipedia.org/wiki/Stony_Brook_University_Hospital
Shriners Children's Twin Cities,,"215 Radio Dr, Woodbury, MN, 55125",215 Radio Dr,, Woodbury,MN,55125,https://www.shrinerschildrens.org/en/Locations/Twin-Cities,44.9456394,-92.9317102,,,,Shriners,,,,,,,,https://en.wikipedia.org/wiki/Sunrise_Hospital_%26_Medical_Center
Helen DeVos Children's Hospital,,"100 Michigan St NE, Grand Rapids, MI 49503",100 Michigan St NE,, Grand Rapids,MI,49503,https://www.spectrumhealth.org/locations/helen-devos-childrens-hospital,42.969485,-85.6649995,,,,,241,,,,Level I Pediatric,4,7,https://en.wikipedia.org/wiki/Sutter_Medical_Center
Cardinal Glennon Children's Hospital,,"1465 S Grand Blvd, St. Louis, MO 63104",1465 S Grand Blvd,, St. Louis,MO,63104,https://www.ssmhealth.com/cardinal-glennon,38.6213562,-90.2394917,,,,,176,,,,,4,6,https://en.wikipedia.org/wiki/Texas_Children%27s_Hospital
Lucile Packard Children's Hospital at Stanford,,"725 Welch Rd, Palo Alto, CA 94304",725 Welch Rd,, Palo Alto,CA,94304,https://www.stanfordchildrens.org,37.4360801,-122.1738746,,,,,361,,,,Level I Pediatric,4,10,https://en.wikipedia.org/wiki/Texas_Scottish_Rite_Hospital_for_Children
St. Joseph's Children's Hospital,,"703 Main St, Paterson, NJ 07503",703 Main St,, Paterson,NJ,7503,https://www.stjosephshealth.org/,40.9026896,-74.165466,,,,,,,,,,3,,https://en.wikipedia.org/wiki/The_Children%27s_Hospital_at_OU_Medicine
St. Jude Children's Research Hospital,,"1 Music Cir S Suite 230, Nashville, TN 37203",1 Music Cir S Suite 230,, Nashville,TN,37203,https://www.stjude.org/,36.1487582,-86.7902524,,,,,69,,,,,,1,https://en.wikipedia.org/wiki/Toledo_Children%27s_Hospital
St. Louis Children's Hospital,,"One Children’s Place, St. Louis, MO 63110",One Children’s Place,, St. Louis,MO,63110,https://www.stlouischildrens.org/,38.6370523,-90.2630272,,,,,390,,,,Level I Pediatric,4,10,https://en.wikipedia.org/wiki/Tufts_Medical_Center
St. Luke's Children's Hospital,,"8007 St Charles Rock Rd, St. Louis, MO 63114",8007 St Charles Rock Rd,, St. Louis,MO,63114,https://www.stlukes-stl.com/services/pediatric-services/index.html,38.6995505,-90.3288667,,,,,113,,,,,4,,https://en.wikipedia.org/wiki/UC_Davis_Medical_Center
St. Mary's Hospital for Children,,"29-01 216th St, Bayside, NY 11360",29-01 216th St,, Bayside,NY,11360,https://www.stmaryskids.org/,40.7764883,-73.7689299,,,,,103,,,,,,,https://en.wikipedia.org/wiki/UCLA_Mattel_Children%E2%80%99s_Hospital
Stony Brook Children's Hospital,," 101 Nicolls Rd, Stony Brook, NY 11794", 101 Nicolls Rd,, Stony Brook,NY,11794,https://www.stonybrookchildrens.org/,40.9085575,-73.1151077,,,,,106,,,,Level I Pediatric,3,,https://en.wikipedia.org/wiki/UCSF_Benioff_Children%27s_Hospital
Studer Family Children's Hospital,,"1 Bubba Watson Dr, Pensacola, FL 32504",1 Bubba Watson Dr,, Pensacola,FL,32504,https://www.studerfamilychildrenshospital.com/,30.4774705,-87.2126045,,,,,106,,,,,3,,https://en.wikipedia.org/wiki/UCSF_Benioff_Children%E2%80%99s_Hospital_Oakland
Children's Center at Sutter Medical Center,," 2825 Capitol Ave, Sacramento, CA 95819", 2825 Capitol Ave,, Sacramento,CA,95819,https://www.sutterhealth.org/services/pediatric,38.5709021,-121.4694505,,,,,121,,,,,3,,https://en.wikipedia.org/wiki/UNC_Children%27s_Hospital
Texas Children's Hospital,,"6621 Fannin St, Houston, TX 77030`",6621 Fannin St,, Houston,TX,77030`,https://www.texaschildrens.org/,29.708,-95.401486,,,,,724,,,,Level I Pediatric,3,10,"https://en.wikipedia.org/wiki/University_Hospital_(Newark,_New_Jersey)"
University of Chicago Comer Children's Hospital,,"5721 S Maryland Ave, Chicago, IL 60637",5721 S Maryland Ave,, Chicago,IL,60637,https://www.uchicagomedicine.org/comer,41.7901847,-87.6045849,,,,,161,,,,Level I Pediatric,4,2,https://en.wikipedia.org/wiki/University_of_Florida_Health
Mattel Children's Hospital UCLA,,"757 Westwood Plaza, Los Angeles, CA 90095",757 Westwood Plaza,, Los Angeles,CA,90095,https://www.uclahealth.org/hospitals/mattel,34.0664764,-118.4465738,,,,,156,,,,Level I Pediatric,3,6,https://en.wikipedia.org/wiki/University_of_Iowa_Children%27s_Hospital
UCSF Benioff Children's Hospital,,"1975 Fourth St., San Francisco, CA 94158",1975 Fourth St.,, San Francisco,CA,94158,https://www.ucsfbenioffchildrens.org/,37.765085,-122.390346,,,,,189,,,,,3,10,https://en.wikipedia.org/wiki/University_of_Maryland_Children%27s_Hospital
UCSF Benioff Children's Hospital Oakland,,"747 52nd St., Oakland, CA 94609",747 52nd St.,, Oakland,CA,94609,https://www.ucsfbenioffchildrens.org/,37.8371901,-122.2670282,,,,,135,,,,Level I Pediatric,4,10,https://en.wikipedia.org/wiki/University_of_Missouri_Women%27s_and_Children%27s_Hospital
Rainbow Babies & Children's Hospital,,"11100 Euclid Ave, Cleveland, OH 44106",11100 Euclid Ave,, Cleveland,OH,44106,https://www.uhhospitals.org/rainbow/,41.5061512,-81.6053844,,,,,237,,,,Level I Pediatric,4,8,https://en.wikipedia.org/wiki/University_of_Puerto_Rico_School_of_Medicine
University Hospital Pediatrics,,,,,,,,https://www.uhhospitals.org/rainbow/services/pediatrics,,,,,,,,,,,,3,,https://en.wikipedia.org/wiki/University_of_South_Alabama
Children's of Mississippi,,"2500 N State St, Jackson, MS 39216",2500 N State St,, Jackson,MS,39216,https://www.umc.edu/Childrens/Childrens-Home-Page.html,32.3292336,-90.1742277,,,,,256,,,,,4,,https://en.wikipedia.org/wiki/University_of_Virginia_Children%27s_Hospital
UMass Memorial Children's Medical Center,,"55 N Lake Ave, Worcester, MA 01655",55 N Lake Ave,, Worcester,MA,1655,https://www.ummhealth.org/umass-memorial-medical-center/services-treatments/childrens-medical-centerpediatrics,42.2751122,-71.7620628,,,,,101,,,,Level I Pediatric,3,,https://en.wikipedia.org/wiki/UPMC_Children%27s_Hospital_of_Pittsburgh
University of Maryland Children's Hospital,,"22 S Greene St 5th Floor, Baltimore, MD 21201",22 S Greene St 5th Floor,, Baltimore,MD,21201,https://www.umms.org/childrens/locations/university-maryland-childrens-hospital,39.2880132,-76.6248449,,,,,117,,,,,4,1,https://en.wikipedia.org/wiki/Upstate_Golisano_Children%27s_Hospital
UNC Children's Hospital,,"101 Manning Drive Ground Floor, Chapel Hill, NC 27514",101 Manning Drive Ground Floor,, Chapel Hill,NC,27514,https://www.uncchildrens.org/uncmc/unc-childrens/,35.904444,-79.0498968,,,,,150,,,,Level I Pediatric,4,7,https://en.wikipedia.org/wiki/Valley_Children%E2%80%99s_Hospital
Blank Children's Hospital,,"1200 Pleasant St, Des Moines, IA 50309",1200 Pleasant St,, Des Moines,IA,50309,https://www.unitypoint.org/blankchildrens/default.aspx,41.5891318,-93.636023,,,,,108,,,,,3,,https://en.wikipedia.org/wiki/Vidant_Medical_Center
Upstate Golisano Children's Hospital,,"One Children's Cir, Syracuse, NY 13210",One Children's Cir,, Syracuse,NY,13210,https://www.upstate.edu/gch/,43.0420199,-76.1381418,,,,,,,,,,,,https://en.wikipedia.org/wiki/Weill_Cornell_Medicine
Golisano Children's Hospital,,"601 Elmwood Ave, Rochester, NY 14642",601 Elmwood Ave,, Rochester,NY,14642,https://www.urmc.rochester.edu/childrens-hospital.aspx,43.1225165,-77.6256447,,,,,190,,,,Level I Pediatric,4,1,https://en.wikipedia.org/wiki/West_Virginia_University
USA Children's and Women's Hospital,," 1700 Center St, Mobile, AL 36604", 1700 Center St,, Mobile,AL,36604,https://www.usahealthsystem.com/locations/childrens-womens-hospital,30.6976736,-88.0777185,,,,,138,,,,,3,,https://en.wikipedia.org/wiki/Wolfson_Children%27s_Hospital
John Sealy Children's Hospital,,"301 8th St, Galveston, TX 77555",301 8th St,, Galveston,TX,77555,https://www.utmbhealth.com/locations/hospitals-campuses/galveston-campus/hospitals-services/campus#john-sealy,29.3103145,-94.7766782,,,,,,,,,,4,,https://en.wikipedia.org/wiki/Women_%26_Infants_Hospital_of_Rhode_Island
University of Vermont Children's Hospital,,"111 Colchester Avenue Main Campus - East Pavilion - Level - 4, Burlington, VT 05401",111 Colchester Avenue Main Campus ,East Pavilion - Level - 4, Burlington,VT,5401,https://www.uvmhealth.org/childrens-hospital,44.4790648,-73.1945849,,,,,58,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Yale-New_Haven_Children%27s_Hospital
American Family Children's Hospital,,"1675 Highland Ave, Madison, WI 53792",1675 Highland Ave,, Madison,WI,53792,https://www.uwhealth.org/locations/american-family-childrens-hospital-169,43.0768122,-89.4332864,,,,,101,,,,Level I Pediatric,4,1,
Valley Children's Hospital,,"9300 Valley Children's Pl, Madera, CA 93636",9300 Valley Children's Pl,, Madera,CA,93636,https://www.valleychildrens.org/,36.8840366,-119.8003218,,,,,212,,,,Level II Pediatric,3,7,
Brenner Children's Hospital,,"1 Medical Center Blvd, Winston-Salem, NC 27157",1 Medical Center Blvd,, Winston-Salem,NC,27157,https://www.wakehealth.edu/locations/hospitals/brenner-childrens,36.0902761,-80.271387,,,,,137,,,,Level I Pediatric,4,,
Women & Infants Hospital of Rhode Island,," 101 Dudley St, Providence, RI 02905", 101 Dudley St,, Providence,RI,2905,https://www.womenandinfants.org/,41.8108357,-71.4122641,,,,,80,,,,,4,,
Yale-New Haven Children's Hospital,,"35 Park St, New Haven, CT 06511",35 Park St,, New Haven,CT,6511,https://www.ynhh.org/childrens-hospital,41.304827,-72.9359041,,,,,202,,,,Level I Pediatric,4,6,
The Children's Hospital of Oklahoma,,"1200 Children's Ave, Oklahoma City, OK 73104",1200 Children's Ave,, Oklahoma City,OK,73104,oklahomachildrens.org,35.4812917,-97.4977382,,,,,246,,,,Level I Pediatric,4,,
Children's of Alabama,,"1600 7th Avenue South, Birmingham, AL",1600 7th Avenue South,, Birmingham,AL,,www.childrensal.org,33.5053682,-86.8058712,Private,Non-profit Hospital,Pediatric Teaching,University of Alabama School of Medicine,341,332,48,,Level I Pediatric,4,9,
Cardon Children's Medical Center,,"1400 S Dobson Rd, Mesa, AZ 85202",1400 S Dobson Rd,, Mesa,AZ,85202,,33.3895052,-111.8781962,,,,,162,,,,,3,,
Shriners Hospital for Children,,,,,,,,,,,,,,Shriners,,,,,,,,
